Data;Semana;Baia;Animal;Periodo;Horario;Bloco;Tratamento;Enriquecimento;Sexo;Etograma
29/04/2019;1;3;350;manha;09:30;pesado;T2;Corda;Macho;Calmo
29/04/2019;1;4;310;manha;09:30;pesado;T1;Corrente;Macho;Calmo
29/04/2019;1;5;482;manha;09:30;pesado;T3;Nenhum;Macho;Calmo
29/04/2019;1;6;201;manha;09:30;pesado;T3;Nenhum;Macho;Calmo
29/04/2019;1;7;24;manha;09:30;pesado;T5;Corda;Femea;Calmo
29/04/2019;1;8;360;manha;09:30;pesado;T2;Corda;Macho;Inter. objeto
29/04/2019;1;9;378;manha;09:30;pesado;T6;Nenhum;Femea;Calmo
29/04/2019;1;10;447;manha;09:30;pesado;T1;Corrente;Macho;Inter. meio amb. 
29/04/2019;1;11;79;manha;09:30;pesado;T6;Nenhum;Femea;Calmo
29/04/2019;1;12;22;manha;09:30;pesado;T4;Corrente;Femea;Calmo
29/04/2019;1;13;59;manha;09:30;pesado;T4;Corrente;Femea;Calmo
29/04/2019;1;14;67;manha;09:30;pesado;T5;Corda;Femea;Calmo
29/04/2019;1;15;450;manha;09:30;leve;T5;Corda;Femea;Inter. meio amb. 
29/04/2019;1;16;431;manha;09:30;leve;T1;Corrente;Macho;Calmo
29/04/2019;1;17;56;manha;09:30;leve;T4;Corrente;Femea;Inter. objeto
29/04/2019;1;18;144;manha;09:30;leve;T5;Corda;Femea;Inter. objeto
29/04/2019;1;19;62;manha;09:30;leve;T4;Corrente;Femea;Calmo
29/04/2019;1;20;423;manha;09:30;leve;T2;Corda;Macho;Inter. objeto
29/04/2019;1;21;265;manha;09:30;leve;T3;Nenhum;Macho;Calmo
29/04/2019;1;22;477;manha;09:30;leve;T1;Corrente;Macho;Inter. objeto
29/04/2019;1;23;289;manha;09:30;leve;T3;Nenhum;Macho;Calmo
29/04/2019;1;24;111;manha;09:30;leve;T6;Nenhum;Femea;Calmo
29/04/2019;1;25;153;manha;09:30;leve;T6;Nenhum;Femea;Calmo
29/04/2019;1;26;370;manha;09:30;leve;T2;Corda;Macho;Inter. objeto
29/04/2019;1;27;392;manha;09:30;medio;T2;Corda;Macho;Inter. objeto
29/04/2019;1;28;414;manha;09:30;medio;T4;Corrente;Femea;Calmo
29/04/2019;1;29;125;manha;09:30;medio;T5;Corda;Femea;Calmo
29/04/2019;1;30;257;manha;09:30;medio;T3;Nenhum;Macho;Calmo
29/04/2019;1;31;334;manha;09:30;medio;T1;Corrente;Macho;Calmo
29/04/2019;1;32;250;manha;09:30;medio;T3;Nenhum;Macho;Calmo
29/04/2019;1;33;282;manha;09:30;medio;T1;Corrente;Macho;Calmo
29/04/2019;1;34;465;manha;09:30;medio;T2;Corda;Macho;Inter. meio amb. 
29/04/2019;1;35;31;manha;09:30;medio;T4;Corrente;Femea;Inter. objeto
29/04/2019;1;36;175;manha;09:30;medio;T5;Corda;Femea;Calmo
29/04/2019;1;37;94;manha;09:30;medio;T6;Nenhum;Femea;Calmo
29/04/2019;1;38;92;manha;09:30;medio;T6;Nenhum;Femea;Calmo
29/04/2019;1;43;8;manha;09:30;pesado;T4;Corrente;Femea;Calmo
