"","Parameter","average","lower","mode","higher","Category","Covariate","Time"
"beta[1,1,1]","beta",0.208865490656413,0.0340945638904424,0.211526349476766,0.382641316795601,"1","1","1"
"beta[2,1,1]","beta",0.181348145352746,-0.00217085597074747,0.175959201914922,0.362388424832819,"2","1","1"
"beta[3,1,1]","beta",-0.0651307148586008,-0.242628190247162,-0.0657263678718432,0.110493301885036,"3","1","1"
"beta[4,1,1]","beta",-0.0843596037394578,-0.27372490845107,-0.089041148492193,0.103134733244557,"4","1","1"
"beta[5,1,1]","beta",-0.082231105533451,-0.278344714117492,-0.083199606907455,0.107303213635795,"5","1","1"
"beta[6,1,1]","beta",-0.0887598208389807,-0.283685821658302,-0.0877824843051747,0.106667965062195,"6","1","1"
"beta[7,1,1]","beta",-0.0834937880023345,-0.277226364441427,-0.0790891996828142,0.107144827281613,"7","1","1"
"beta[1,2,1]","beta",0.140007539158292,-0.0273500391229177,0.138973805970063,0.313886297747642,"1","2","1"
"beta[2,2,1]","beta",0.0669985078653936,-0.11408263956459,0.0669203841113299,0.246397694380599,"2","2","1"
"beta[3,2,1]","beta",0.0780922025508715,-0.10978477264876,0.0741077366637249,0.270146898263803,"3","2","1"
"beta[4,2,1]","beta",-0.0366755534223992,-0.237441454416335,-0.0334690648020786,0.154025960402332,"4","2","1"
"beta[5,2,1]","beta",-0.0822401604502459,-0.274292940160056,-0.0808507380291518,0.0987446883098334,"5","2","1"
"beta[6,2,1]","beta",-0.0863791131872226,-0.283615865064162,-0.0897184312061694,0.100255487651155,"6","2","1"
"beta[7,2,1]","beta",-0.0870432042171623,-0.271017094674078,-0.0891957179263544,0.0918420968934135,"7","2","1"
"beta[1,3,1]","beta",0.115123448221876,-0.0513011381594346,0.112962394780192,0.297129867876857,"1","3","1"
"beta[2,3,1]","beta",0.125433483536684,-0.0539054724072117,0.125509738962405,0.293759525402692,"2","3","1"
"beta[3,3,1]","beta",0.00663962533082861,-0.172539159297369,0.0105090283006285,0.194178459938895,"3","3","1"
"beta[4,3,1]","beta",-0.0236847751269281,-0.223331850033981,-0.023757686423346,0.166643436809581,"4","3","1"
"beta[5,3,1]","beta",-0.0588026666140547,-0.251561729499913,-0.0558177060980387,0.127796090700736,"5","3","1"
"beta[6,3,1]","beta",-0.0840106117151864,-0.274369937053514,-0.0834060899482793,0.103326514617283,"6","3","1"
"beta[7,3,1]","beta",-0.0861236532210087,-0.277189256439364,-0.0876245470599423,0.107058966747752,"7","3","1"
"beta[1,4,1]","beta",0.276465592531162,0.102990872601875,0.277926854378248,0.451621570174645,"1","4","1"
"beta[2,4,1]","beta",0.0300788937808798,-0.152336110195482,0.0280544825974193,0.203850680661714,"2","4","1"
"beta[3,4,1]","beta",-0.00960558984155916,-0.190278561800821,-0.0109530269633113,0.187633872464569,"3","4","1"
"beta[4,4,1]","beta",-0.079651514805237,-0.263266420296723,-0.081411934259205,0.120550158827131,"4","4","1"
"beta[5,4,1]","beta",-0.0772372677655606,-0.276967667448035,-0.0775230276377471,0.124660047319116,"5","4","1"
"beta[6,4,1]","beta",-0.0713825822018425,-0.258019520622958,-0.0740166189148888,0.125761960998367,"6","4","1"
"beta[7,4,1]","beta",-0.070963869519959,-0.25596143133551,-0.0721205340440013,0.134705164969789,"7","4","1"
"beta[1,5,1]","beta",0.67094371015843,0.506409882755786,0.670480350592164,0.846126113651565,"1","5","1"
"beta[2,5,1]","beta",0.337624609217006,0.158601127903305,0.339202108664743,0.500106914339921,"2","5","1"
"beta[3,5,1]","beta",-0.0169777769043007,-0.183624703347386,-0.015917913776666,0.155404862379714,"3","5","1"
"beta[4,5,1]","beta",-0.223330563625229,-0.393707465798263,-0.228182949944164,-0.0504303769887989,"4","5","1"
"beta[5,5,1]","beta",-0.247320379784362,-0.422256515652223,-0.248243241612758,-0.0768786651924315,"5","5","1"
"beta[6,5,1]","beta",-0.268063336805435,-0.457985839473929,-0.268137803132247,-0.078044146457944,"6","5","1"
"beta[7,5,1]","beta",-0.261684239178627,-0.441420311170402,-0.260798716110348,-0.0772277645398807,"7","5","1"
